Agro-Ecological Zone Compatibility,Pest disease vulnerability,Water irrigation reliability,Post Harvest Storage,Market Access,Planting/Sowing Time,Farmer experience,Cooperative Membership,Input Access and Affordability,AEZ_Score,Pest_Score,Water_Score,Storage_Score,Market_Score,Planting_Score,Experience_Score,Coop_Score,Input_Score,Risk Factor,Crop Type,Farmer ID,Farm Location,Price,Gender,Farm size,Previous Yield Output (Kgs),Persons with disability,Age
Moderate,High,Moderate,Yes,Yes,High,5-9 years,Yes,Yes,0.5,1.0,0.5,0,0,0,0.0,0,0,0.33,Beans,FARM_0017,Tana River,137.27,Female,20.65,60035,No,71
High,Moderate,Low,Yes,Yes,High,>9 years,No,Yes,0.0,0.5,1.0,0,0,0,0.0,1,0,0.275,Maize,FARM_0018,Kisumu,55.61,Male,23.15,41133,Yes,18
Low,Moderate,Moderate,No,Yes,Low,5-9 years,Yes,No,1.0,0.5,0.5,1,0,1,0.0,0,1,0.5850000000000001,Beans,FARM_0019,Baringo,137.27,Female,92.08,87605,No,68
High,Low,Moderate,Yes,Yes,High,5-9 years,Yes,Yes,0.0,0.0,0.5,0,0,0,0.0,0,0,0.07,Maize,FARM_0020,Kisumu,55.61,Male,73.98,170908,Yes,53
High,High,Low,Yes,Yes,Low,1-4 years,No,Yes,0.0,1.0,1.0,0,0,1,0.5,1,0,0.5,Beans,FARM_0021,Elgeyo-Marakwet,137.27,Female,21.64,20077,No,86
High,High,Low,No,No,Low,<1 year,Yes,Yes,0.0,1.0,1.0,1,1,1,0.5,0,0,0.7100000000000001,Beans,FARM_0022,Siaya,137.27,Male,29.23,80419,No,59
High,Moderate,High,No,Yes,High,>9 years,Yes,Yes,0.0,0.5,0.0,1,0,0,0.0,0,0,0.215,Beans,FARM_0023,Mandera,137.27,Female,10.84,24403,No,73
Moderate,Low,Moderate,Yes,No,High,>9 years,No,Yes,0.5,0.0,0.5,0,1,0,0.0,1,0,0.34,Maize,FARM_0024,Samburu,55.61,Male,16.92,21188,No,36
Moderate,Low,Moderate,No,Yes,Low,1-4 years,No,Yes,0.5,0.0,0.5,1,0,1,0.5,1,0,0.48,Maize,FARM_0025,Wajir,55.61,Male,13.06,16396,No,81
High,High,Moderate,Yes,Yes,High,5-9 years,Yes,Yes,0.0,1.0,0.5,0,0,0,0.0,0,0,0.24,Beans,FARM_0026,Mandera,137.27,Male,20.97,46056,No,52
High,Moderate,High,Yes,Yes,Low,5-9 years,Yes,No,0.0,0.5,0.0,0,0,1,0.0,0,1,0.205,Maize,FARM_0027,Nairobi,55.61,Male,10.34,16309,No,21
High,High,Moderate,Yes,Yes,High,1-4 years,Yes,Yes,0.0,1.0,0.5,0,0,0,0.5,0,0,0.28,Maize,FARM_0028,Kirinyaga,55.61,Male,29.96,59424,No,47
Low,Moderate,Low,Yes,Yes,High,5-9 years,No,Yes,1.0,0.5,1.0,0,0,0,0.0,1,0,0.455,Beans,FARM_0029,Nyeri,137.27,Female,22.58,56218,Yes,68
High,High,Low,Yes,No,Low,>9 years,Yes,No,0.0,1.0,1.0,0,1,1,0.0,0,1,0.56,Maize,FARM_0030,Kiambu,55.61,Female,26.42,55824,Yes,57
Moderate,High,High,Yes,Yes,High,>9 years,No,No,0.5,1.0,0.0,0,0,0,0.0,1,1,0.33,Maize,FARM_0031,Bomet,55.61,Male,79.16,129242,No,22
Low,Moderate,Moderate,Yes,Yes,Low,5-9 years,No,Yes,1.0,0.5,0.5,0,0,1,0.0,1,0,0.485,Maize,FARM_0032,Meru,55.61,Female,4.41,5475,No,28
High,Low,Low,No,Yes,High,<1 year,No,No,0.0,0.0,1.0,1,0,0,0.5,1,1,0.38,Maize,FARM_0033,Wajir,55.61,Female,11.46,11847,No,87
Low,High,High,Yes,Yes,Low,>9 years,No,Yes,1.0,1.0,0.0,0,0,1,0.0,1,0,0.4999999999999999,Maize,FARM_0034,Vihiga,55.61,Female,64.73,47596,No,24
High,Low,Moderate,Yes,Yes,High,>9 years,No,Yes,0.0,0.0,0.5,0,0,0,0.0,1,0,0.12,Maize,FARM_0035,Migori,55.61,Female,9.04,26624,No,22
High,Moderate,Moderate,Yes,Yes,Low,5-9 years,Yes,Yes,0.0,0.5,0.5,0,0,1,0.0,0,0,0.255,Maize,FARM_0036,Migori,55.61,Male,16.32,26460,No,50
High,Moderate,Moderate,Yes,Yes,High,1-4 years,Yes,Yes,0.0,0.5,0.5,0,0,0,0.5,0,0,0.195,Maize,FARM_0037,Kiambu,55.61,Female,7.51,12859,No,43
Moderate,Low,High,Yes,Yes,High,1-4 years,No,Yes,0.5,0.0,0.0,0,0,0,0.5,1,0,0.18,Maize,FARM_0038,Kwale,55.61,Female,19.39,20277,No,57
Moderate,High,Moderate,Yes,No,Low,>9 years,Yes,No,0.5,1.0,0.5,0,1,1,0.0,0,1,0.5800000000000001,Maize,FARM_0039,Kisumu,55.61,Male,82.64,115428,Yes,45
Moderate,High,Moderate,Yes,No,Low,1-4 years,Yes,Yes,0.5,1.0,0.5,0,1,1,0.5,0,0,0.6000000000000001,Maize,FARM_0040,Turkana,55.61,Female,6.83,19172,No,19
Moderate,Moderate,High,Yes,No,High,1-4 years,Yes,No,0.5,0.5,0.0,0,1,0,0.5,0,1,0.365,Maize,FARM_0041,Migori,55.61,Male,8.83,17562,Yes,22
Moderate,Moderate,Moderate,Yes,Yes,Low,5-9 years,Yes,Yes,0.5,0.5,0.5,0,0,1,0.0,0,0,0.345,Maize,FARM_0042,Kiambu,55.61,Female,22.12,15439,No,74
Moderate,High,High,Yes,No,Low,>9 years,Yes,No,0.5,1.0,0.0,0,1,1,0.0,0,1,0.51,Maize,FARM_0043,Bungoma,55.61,Male,22.78,48958,No,83
High,Moderate,High,No,No,High,>9 years,No,Yes,0.0,0.5,0.0,1,1,0,0.0,1,0,0.395,Beans,FARM_0044,Turkana,137.27,Female,13.06,27047,No,89
Moderate,Low,High,Yes,No,High,>9 years,Yes,Yes,0.5,0.0,0.0,0,1,0,0.0,0,0,0.22,Maize,FARM_0045,Siaya,55.61,Female,27.51,69612,No,75
Moderate,Low,High,Yes,Yes,High,>9 years,No,Yes,0.5,0.0,0.0,0,0,0,0.0,1,0,0.14,Maize,FARM_0046,Machakos,55.61,Male,6.51,4919,No,26
Low,Moderate,High,Yes,No,High,5-9 years,No,Yes,1.0,0.5,0.0,0,1,0,0.0,1,0,0.445,Beans,FARM_0047,West Pokot,137.27,Male,83.4,171893,No,29
High,High,Moderate,Yes,Yes,High,5-9 years,No,Yes,0.0,1.0,0.5,0,0,0,0.0,1,0,0.29,Maize,FARM_0048,Vihiga,55.61,Male,76.02,166390,No,54
Moderate,Moderate,Moderate,Yes,Yes,High,5-9 years,No,Yes,0.5,0.5,0.5,0,0,0,0.0,1,0,0.295,Maize,FARM_0049,Narok,55.61,Male,32.05,38540,No,30
Moderate,Moderate,High,No,Yes,High,>9 years,Yes,No,0.5,0.5,0.0,1,0,0,0.0,0,1,0.325,Maize,FARM_0050,Isiolo,55.61,Male,30.07,56705,Yes,38
High,High,High,Yes,Yes,High,5-9 years,Yes,No,0.0,1.0,0.0,0,0,0,0.0,0,1,0.19,Beans,FARM_0051,Makueni,137.27,Female,9.06,10991,No,90
Moderate,Low,High,Yes,No,High,>9 years,Yes,No,0.5,0.0,0.0,0,1,0,0.0,0,1,0.24,Maize,FARM_0052,Kakamega,55.61,Female,6.19,12628,No,78
Low,Moderate,Moderate,Yes,Yes,Low,1-4 years,Yes,Yes,1.0,0.5,0.5,0,0,1,0.5,0,0,0.475,Maize,FARM_0053,Nyamira,55.61,Male,71.03,99136,No,23
Moderate,Low,High,Yes,Yes,High,<1 year,Yes,Yes,0.5,0.0,0.0,0,0,0,0.5,0,0,0.13,Maize,FARM_0054,Machakos,55.61,Female,68.78,138210,No,59
High,Low,High,Yes,Yes,High,>9 years,Yes,Yes,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,Maize,FARM_0055,Lamu,55.61,Female,20.77,24842,No,46
Low,Moderate,Moderate,Yes,Yes,Low,>9 years,Yes,Yes,1.0,0.5,0.5,0,0,1,0.0,0,0,0.435,Beans,FARM_0056,Laikipia,137.27,Female,13.08,13718,Yes,84
Moderate,High,High,Yes,Yes,High,1-4 years,No,Yes,0.5,1.0,0.0,0,0,0,0.5,1,0,0.35,Beans,FARM_0057,West Pokot,137.27,Female,14.75,26528,No,25
Low,Moderate,Moderate,Yes,Yes,High,>9 years,Yes,No,1.0,0.5,0.5,0,0,0,0.0,0,1,0.355,Beans,FARM_0058,Wajir,137.27,Male,82.14,61322,No,26
High,High,Low,Yes,Yes,High,5-9 years,Yes,Yes,0.0,1.0,1.0,0,0,0,0.0,0,0,0.31,Beans,FARM_0059,Nyeri,137.27,Male,80.24,178697,No,87
Moderate,Low,Moderate,Yes,Yes,Low,>9 years,Yes,Yes,0.5,0.0,0.5,0,0,1,0.0,0,0,0.26,Maize,FARM_0060,Mandera,55.61,Male,90.55,122065,No,84
Moderate,Low,Moderate,No,Yes,High,>9 years,No,Yes,0.5,0.0,0.5,1,0,0,0.0,1,0,0.34,Beans,FARM_0061,West Pokot,137.27,Female,26.69,46136,No,59
Low,Moderate,High,Yes,Yes,Low,>9 years,No,Yes,1.0,0.5,0.0,0,0,1,0.0,1,0,0.415,Beans,FARM_0062,Narok,137.27,Female,6.44,9522,No,44
High,High,High,Yes,Yes,High,1-4 years,Yes,Yes,0.0,1.0,0.0,0,0,0,0.5,0,0,0.21,Maize,FARM_0063,Garissa,55.61,Male,14.07,24643,No,41
Low,Moderate,Moderate,Yes,Yes,High,<1 year,No,No,1.0,0.5,0.5,0,0,0,0.5,1,1,0.445,Maize,FARM_0064,Taita Taveta,55.61,Male,12.97,26373,No,84
High,Moderate,High,No,Yes,Low,5-9 years,Yes,No,0.0,0.5,0.0,1,0,1,0.0,0,1,0.3350000000000001,Beans,FARM_0065,Kakamega,137.27,Female,6.84,6275,No,46
High,High,Moderate,Yes,Yes,High,>9 years,Yes,Yes,0.0,1.0,0.5,0,0,0,0.0,0,0,0.24,Maize,FARM_0066,Baringo,55.61,Female,5.96,6024,No,49
High,High,Moderate,Yes,Yes,High,1-4 years,Yes,Yes,0.0,1.0,0.5,0,0,0,0.5,0,0,0.28,Maize,FARM_0067,Baringo,55.61,Male,7.03,13966,No,46
High,Low,High,Yes,No,Low,1-4 years,Yes,Yes,0.0,0.0,0.0,0,1,1,0.5,0,0,0.27,Maize,FARM_0068,Embu,55.61,Male,3.99,4210,No,20
Low,Moderate,Moderate,Yes,Yes,High,5-9 years,No,No,1.0,0.5,0.5,0,0,0,0.0,1,1,0.405,Beans,FARM_0069,Turkana,137.27,Male,16.01,19702,Yes,61
High,High,High,Yes,No,High,>9 years,Yes,No,0.0,1.0,0.0,0,1,0,0.0,0,1,0.32,Beans,FARM_0070,Wajir,137.27,Female,8.02,10779,No,90
High,High,Moderate,Yes,Yes,High,5-9 years,Yes,Yes,0.0,1.0,0.5,0,0,0,0.0,0,0,0.24,Maize,FARM_0071,Nyandarua,55.61,Male,73.83,78854,No,51
Moderate,Moderate,High,Yes,Yes,High,>9 years,Yes,Yes,0.5,0.5,0.0,0,0,0,0.0,0,0,0.175,Maize,FARM_0072,Nandi,55.61,Male,62.06,100362,No,41
Low,Low,High,Yes,No,Low,>9 years,Yes,No,1.0,0.0,0.0,0,1,1,0.0,0,1,0.43,Beans,FARM_0073,Marsabit,137.27,Female,4.9,9042,No,57
Low,Moderate,High,Yes,No,Low,5-9 years,Yes,Yes,1.0,0.5,0.0,0,1,1,0.0,0,0,0.495,Maize,FARM_0074,Samburu,55.61,Male,18.56,52867,No,21
High,High,High,Yes,No,High,>9 years,Yes,Yes,0.0,1.0,0.0,0,1,0,0.0,0,0,0.3,Maize,FARM_0075,Nyandarua,55.61,Female,10.09,11013,No,71
Moderate,High,Low,No,No,High,1-4 years,Yes,Yes,0.5,1.0,1.0,1,1,0,0.5,0,0,0.7000000000000001,Beans,FARM_0076,Bomet,137.27,Female,33.01,53923,No,31
Low,Moderate,High,Yes,Yes,Low,5-9 years,No,Yes,1.0,0.5,0.0,0,0,1,0.0,1,0,0.415,Beans,FARM_0077,Mandera,137.27,Male,88.75,170583,No,18
High,Moderate,Moderate,Yes,Yes,Low,>9 years,Yes,Yes,0.0,0.5,0.5,0,0,1,0.0,0,0,0.255,Maize,FARM_0078,Isiolo,55.61,Female,12.31,15247,No,62
High,High,Moderate,No,Yes,Low,1-4 years,Yes,Yes,0.0,1.0,0.5,1,0,1,0.5,0,0,0.51,Maize,FARM_0079,Nakuru,55.61,Male,4.12,11919,No,54
High,Moderate,High,No,Yes,Low,>9 years,No,Yes,0.0,0.5,0.0,1,0,1,0.0,1,0,0.365,Beans,FARM_0080,Mombasa,137.27,Male,11.44,11285,Yes,30
High,Moderate,High,Yes,Yes,High,1-4 years,Yes,Yes,0.0,0.5,0.0,0,0,0,0.5,0,0,0.125,Maize,FARM_0081,Kericho,55.61,Female,16.99,17075,No,74
High,Moderate,Low,No,Yes,High,1-4 years,Yes,Yes,0.0,0.5,1.0,1,0,0,0.5,0,0,0.395,Maize,FARM_0082,Nandi,55.61,Male,86.23,168633,No,38
Low,Low,Moderate,No,No,Low,5-9 years,Yes,Yes,1.0,0.0,0.5,1,1,1,0.0,0,0,0.61,Beans,FARM_0083,Isiolo,137.27,Male,32.94,73810,No,60
Low,High,High,No,No,High,5-9 years,Yes,No,1.0,1.0,0.0,1,1,0,0.0,0,1,0.63,Maize,FARM_0084,Bungoma,55.61,Female,29.13,45624,Yes,21
High,High,Moderate,No,Yes,High,>9 years,Yes,No,0.0,1.0,0.5,1,0,0,0.0,0,1,0.39,Maize,FARM_0085,Kitui,55.61,Male,12.83,19438,No,49
Low,Low,Moderate,Yes,Yes,Low,>9 years,Yes,Yes,1.0,0.0,0.5,0,0,1,0.0,0,0,0.35,Maize,FARM_0086,Meru,55.61,Female,8.96,21292,No,18
Low,High,High,Yes,Yes,Low,>9 years,No,Yes,1.0,1.0,0.0,0,0,1,0.0,1,0,0.4999999999999999,Beans,FARM_0087,Nandi,137.27,Female,22.68,18534,No,51
Low,High,Moderate,No,Yes,Low,>9 years,Yes,Yes,1.0,1.0,0.5,1,0,1,0.0,0,0,0.65,Beans,FARM_0088,Siaya,137.27,Female,28.25,68392,No,89
Moderate,Low,Low,Yes,No,High,1-4 years,Yes,Yes,0.5,0.0,1.0,0,1,0,0.5,0,0,0.3999999999999999,Maize,FARM_0089,Kiambu,55.61,Male,12.6,9553,Yes,33
High,High,High,No,Yes,Low,1-4 years,Yes,Yes,0.0,1.0,0.0,1,0,1,0.5,0,0,0.44,Maize,FARM_0090,Mandera,55.61,Male,14.83,44445,No,84
Low,Low,Moderate,No,Yes,High,1-4 years,Yes,Yes,1.0,0.0,0.5,1,0,0,0.5,0,0,0.42,Beans,FARM_0091,Tharaka Nithi,137.27,Male,19.64,20558,No,74
High,High,Moderate,No,Yes,High,1-4 years,Yes,Yes,0.0,1.0,0.5,1,0,0,0.5,0,0,0.41,Maize,FARM_0092,Nyeri,55.61,Female,13.06,34893,No,22
High,Low,Moderate,No,Yes,High,1-4 years,Yes,Yes,0.0,0.0,0.5,1,0,0,0.5,0,0,0.24,Beans,FARM_0093,Narok,137.27,Female,74.7,138189,No,38
High,Low,Moderate,Yes,Yes,High,<1 year,No,Yes,0.0,0.0,0.5,0,0,0,0.5,1,0,0.16,Beans,FARM_0094,Wajir,137.27,Male,19.83,29069,No,45
Low,Low,Low,Yes,Yes,High,>9 years,Yes,Yes,1.0,0.0,1.0,0,0,0,0.0,0,0,0.32,Maize,FARM_0095,West Pokot,55.61,Male,22.94,21183,No,68
High,Low,Moderate,Yes,Yes,High,<1 year,Yes,No,0.0,0.0,0.5,0,0,0,0.5,0,1,0.13,Maize,FARM_0096,Isiolo,55.61,Female,16.9,49227,No,74
High,Low,Low,No,Yes,High,5-9 years,Yes,No,0.0,0.0,1.0,1,0,0,0.0,0,1,0.29,Maize,FARM_0097,Nyandarua,55.61,Male,69.55,141212,No,48
High,High,Moderate,No,Yes,Low,<1 year,No,Yes,0.0,1.0,0.5,1,0,1,0.5,1,0,0.56,Maize,FARM_0098,Samburu,55.61,Male,91.35,198329,No,18
High,Low,High,Yes,No,High,>9 years,No,Yes,0.0,0.0,0.0,0,1,0,0.0,1,0,0.18,Maize,FARM_0099,Isiolo,55.61,Female,15.87,11799,No,20
High,Moderate,Moderate,No,Yes,Low,1-4 years,No,Yes,0.0,0.5,0.5,1,0,1,0.5,1,0,0.475,Maize,FARM_0100,Nakuru,55.61,Female,11.39,28143,No,76
Moderate,Moderate,Moderate,Yes,Yes,High,5-9 years,No,Yes,0.5,0.5,0.5,0,0,0,0.0,1,0,0.295,Beans,FARM_0101,Bomet,137.27,Male,61.12,63555,No,80
Moderate,High,High,Yes,No,Low,>9 years,No,Yes,0.5,1.0,0.0,0,1,1,0.0,1,0,0.54,Beans,FARM_0102,Bomet,137.27,Male,84.2,95383,No,85
Moderate,Low,Low,Yes,Yes,High,5-9 years,Yes,Yes,0.5,0.0,1.0,0,0,0,0.0,0,0,0.23,Beans,FARM_0103,Tharaka Nithi,137.27,Female,85.28,131281,No,23
Moderate,Low,Moderate,Yes,Yes,High,<1 year,Yes,Yes,0.5,0.0,0.5,0,0,0,0.5,0,0,0.2,Beans,FARM_0104,Turkana,137.27,Male,32.92,38699,No,84
High,Moderate,Low,Yes,No,Low,5-9 years,Yes,Yes,0.0,0.5,1.0,0,1,1,0.0,0,0,0.455,Maize,FARM_0105,Samburu,55.61,Female,17.07,40405,No,68
Low,High,Moderate,Yes,No,High,>9 years,No,Yes,1.0,1.0,0.5,0,1,0,0.0,1,0,0.6000000000000001,Maize,FARM_0106,Baringo,55.61,Female,2.46,7110,No,36
High,Low,High,Yes,Yes,High,<1 year,No,No,0.0,0.0,0.0,0,0,0,0.5,1,1,0.11,Beans,FARM_0107,Bungoma,137.27,Male,9.19,16806,Yes,61
High,Low,Moderate,No,No,Low,>9 years,Yes,Yes,0.0,0.0,0.5,1,1,1,0.0,0,0,0.43,Maize,FARM_0108,Isiolo,55.61,Male,88.21,95466,No,51
Low,Moderate,Moderate,Yes,Yes,Low,1-4 years,No,Yes,1.0,0.5,0.5,0,0,1,0.5,1,0,0.525,Beans,FARM_0109,Lamu,137.27,Male,64.83,172418,No,18
High,High,High,Yes,No,Low,5-9 years,No,Yes,0.0,1.0,0.0,0,1,1,0.0,1,0,0.45,Maize,FARM_0110,Makueni,55.61,Female,21.1,35972,No,72
Moderate,Moderate,High,Yes,Yes,High,1-4 years,No,Yes,0.5,0.5,0.0,0,0,0,0.5,1,0,0.265,Maize,FARM_0111,Elgeyo-Marakwet,55.61,Female,40.12,80528,No,83
Moderate,Low,Moderate,No,Yes,High,1-4 years,Yes,Yes,0.5,0.0,0.5,1,0,0,0.5,0,0,0.33,Beans,FARM_0112,Kiambu,137.27,Male,4.65,6613,No,18
High,Moderate,High,No,No,High,5-9 years,Yes,Yes,0.0,0.5,0.0,1,1,0,0.0,0,0,0.345,Beans,FARM_0113,Nyeri,137.27,Female,13.35,35688,Yes,21
Moderate,High,Low,No,Yes,Low,>9 years,Yes,No,0.5,1.0,1.0,1,0,1,0.0,0,1,0.65,Beans,FARM_0114,Marsabit,137.27,Male,23.58,20433,No,63
High,High,Moderate,Yes,Yes,High,>9 years,No,Yes,0.0,1.0,0.5,0,0,0,0.0,1,0,0.29,Beans,FARM_0115,Nyeri,137.27,Male,78.7,150715,No,58
High,Moderate,High,No,No,High,5-9 years,Yes,Yes,0.0,0.5,0.0,1,1,0,0.0,0,0,0.345,Beans,FARM_0116,Kisii,137.27,Male,17.12,43900,No,19
High,High,Moderate,No,No,Low,>9 years,Yes,Yes,0.0,1.0,0.5,1,1,1,0.0,0,0,0.6,Beans,FARM_0117,Garissa,137.27,Female,76.65,156071,No,90
Moderate,High,Moderate,No,Yes,High,5-9 years,Yes,Yes,0.5,1.0,0.5,1,0,0,0.0,0,0,0.46,Beans,FARM_0118,Baringo,137.27,Male,11.01,28600,Yes,68
High,High,Moderate,Yes,Yes,Low,5-9 years,No,Yes,0.0,1.0,0.5,0,0,1,0.0,1,0,0.39,Beans,FARM_0119,Trans-Nzoia,137.27,Male,21.9,51549,No,88
Moderate,High,High,No,No,Low,<1 year,Yes,Yes,0.5,1.0,0.0,1,1,1,0.5,0,0,0.66,Beans,FARM_0120,Nakuru,137.27,Female,63.23,125810,No,76
Low,Low,Low,Yes,No,Low,>9 years,No,Yes,1.0,0.0,1.0,0,1,1,0.0,1,0,0.6000000000000001,Beans,FARM_0121,Wajir,137.27,Male,67.15,169717,Yes,79
High,Low,High,No,Yes,High,5-9 years,Yes,Yes,0.0,0.0,0.0,1,0,0,0.0,0,0,0.13,Beans,FARM_0122,Turkana,137.27,Male,92.44,194094,No,33
Low,Moderate,Moderate,Yes,Yes,High,>9 years,No,Yes,1.0,0.5,0.5,0,0,0,0.0,1,0,0.385,Maize,FARM_0123,Taita Taveta,55.61,Female,25.53,49375,No,75
Low,Moderate,Moderate,Yes,Yes,High,5-9 years,Yes,Yes,1.0,0.5,0.5,0,0,0,0.0,0,0,0.335,Maize,FARM_0124,Laikipia,55.61,Male,4.63,7363,No,76
High,High,Low,Yes,Yes,High,<1 year,Yes,Yes,0.0,1.0,1.0,0,0,0,0.5,0,0,0.35,Maize,FARM_0125,Garissa,55.61,Male,24.42,44095,No,61
High,Moderate,High,No,Yes,High,1-4 years,Yes,Yes,0.0,0.5,0.0,1,0,0,0.5,0,0,0.255,Beans,FARM_0126,Mombasa,137.27,Male,35.68,59334,No,36
High,High,Moderate,Yes,Yes,High,>9 years,Yes,No,0.0,1.0,0.5,0,0,0,0.0,0,1,0.26,Maize,FARM_0127,Uasin Gishu,55.61,Female,9.55,27790,No,87
Moderate,Moderate,High,Yes,Yes,Low,<1 year,Yes,Yes,0.5,0.5,0.0,0,0,1,0.5,0,0,0.315,Maize,FARM_0128,Kwale,55.61,Female,4.88,12252,Yes,58
Low,Low,High,Yes,Yes,High,5-9 years,No,Yes,1.0,0.0,0.0,0,0,0,0.0,1,0,0.2299999999999999,Maize,FARM_0129,Kisii,55.61,Female,66.67,70316,No,54
High,High,High,Yes,Yes,High,>9 years,Yes,Yes,0.0,1.0,0.0,0,0,0,0.0,0,0,0.17,Maize,FARM_0130,Turkana,55.61,Male,93.07,177409,No,53
High,High,High,No,No,Low,>9 years,Yes,Yes,0.0,1.0,0.0,1,1,1,0.0,0,0,0.53,Beans,FARM_0131,Elgeyo-Marakwet,137.27,Male,78.96,180449,No,19
Low,Moderate,Low,Yes,Yes,High,>9 years,No,Yes,1.0,0.5,1.0,0,0,0,0.0,1,0,0.455,Beans,FARM_0132,Nandi,137.27,Female,14.68,14967,No,76
High,Moderate,High,Yes,No,High,5-9 years,Yes,Yes,0.0,0.5,0.0,0,1,0,0.0,0,0,0.215,Beans,FARM_0133,Kiambu,137.27,Male,7.26,19984,No,51
High,Moderate,Moderate,Yes,Yes,Low,<1 year,No,No,0.0,0.5,0.5,0,0,1,0.5,1,1,0.365,Maize,FARM_0134,Kirinyaga,55.61,Male,22.52,38293,Yes,41
Moderate,Moderate,High,No,No,High,>9 years,Yes,Yes,0.5,0.5,0.0,1,1,0,0.0,0,0,0.435,Maize,FARM_0135,Mombasa,55.61,Male,8.23,7331,No,23
High,High,Moderate,Yes,Yes,High,5-9 years,Yes,Yes,0.0,1.0,0.5,0,0,0,0.0,0,0,0.24,Beans,FARM_0136,Kajiado,137.27,Male,9.67,12369,Yes,36
High,Low,Moderate,No,No,Low,>9 years,No,No,0.0,0.0,0.5,1,1,1,0.0,1,1,0.5,Maize,FARM_0137,Taita Taveta,55.61,Female,13.3,19641,No,58
Moderate,Moderate,Moderate,Yes,Yes,Low,5-9 years,Yes,No,0.5,0.5,0.5,0,0,1,0.0,0,1,0.365,Beans,FARM_0138,Uasin Gishu,137.27,Male,83.84,148108,No,88
High,Moderate,Low,Yes,Yes,High,5-9 years,Yes,Yes,0.0,0.5,1.0,0,0,0,0.0,0,0,0.225,Maize,FARM_0139,Mandera,55.61,Male,10.45,12199,No,86
